2026-09-13 14:42:22 | INFO     | src.pipelines.alpha_factory.pipeline | Logging to /Users/milanpeter/Developer/Systematic-Trading-Pipeline/logs/alpha_factory/20260913_144222.log
2026-09-13 14:42:22 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-13 14:42:22 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-13 14:42:22 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-13 14:42:22 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-13 14:44:21 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-13 14:44:21 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-13 14:44:22 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-13 14:44:22 | INFO     | src.pipelines.alpha_factory.pipeline | 0 of 2436 candidates due for testing this run (2436 still within their 30-day cooldown).
2026-09-13 14:44:22 | INFO     | src.pipelines.alpha_factory.pipeline | No batches completed this pass (shutdown requested before any batch started, or no candidates were due for testing) -- skipping final funnel and reporting.
2026-09-13 14:44:22 | INFO     | src.pipelines.alpha_factory.pipeline | Pass complete. Sleeping 24.0h until next check.
2026-09-14 14:50:48 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-14 14:50:48 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-14 14:50:48 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-14 14:50:48 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-14 14:52:47 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-14 14:52:47 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-14 14:52:47 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-14 14:52:47 | INFO     | src.pipelines.alpha_factory.pipeline | 0 of 2436 candidates due for testing this run (2436 still within their 30-day cooldown).
2026-09-14 14:52:47 | INFO     | src.pipelines.alpha_factory.pipeline | No batches completed this pass (shutdown requested before any batch started, or no candidates were due for testing) -- skipping final funnel and reporting.
2026-09-14 14:52:48 | INFO     | src.pipelines.alpha_factory.pipeline | Pass complete. Sleeping 24.0h until next check.
2026-09-15 14:59:12 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-15 14:59:12 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-15 14:59:12 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-15 14:59:12 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-15 15:01:12 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-15 15:01:12 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-15 15:01:12 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-15 15:01:12 | INFO     | src.pipelines.alpha_factory.pipeline | 0 of 2436 candidates due for testing this run (2436 still within their 30-day cooldown).
2026-09-15 15:01:12 | INFO     | src.pipelines.alpha_factory.pipeline | No batches completed this pass (shutdown requested before any batch started, or no candidates were due for testing) -- skipping final funnel and reporting.
2026-09-15 15:01:12 | INFO     | src.pipelines.alpha_factory.pipeline | Pass complete. Sleeping 24.0h until next check.
2026-09-16 15:07:37 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-16 15:07:37 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-16 15:07:37 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-16 15:07:37 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-16 15:09:40 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-16 15:09:40 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-16 15:09:40 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-16 15:09:40 | INFO     | src.pipelines.alpha_factory.pipeline | 0 of 2436 candidates due for testing this run (2436 still within their 30-day cooldown).
2026-09-16 15:09:40 | INFO     | src.pipelines.alpha_factory.pipeline | No batches completed this pass (shutdown requested before any batch started, or no candidates were due for testing) -- skipping final funnel and reporting.
2026-09-16 15:09:40 | INFO     | src.pipelines.alpha_factory.pipeline | Pass complete. Sleeping 24.0h until next check.
2026-09-17 15:16:04 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-17 15:16:04 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-17 15:16:04 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-17 15:16:04 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-17 15:18:03 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-17 15:18:03 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-17 15:18:03 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-17 15:18:03 | INFO     | src.pipelines.alpha_factory.pipeline | 0 of 2436 candidates due for testing this run (2436 still within their 30-day cooldown).
2026-09-17 15:18:03 | INFO     | src.pipelines.alpha_factory.pipeline | No batches completed this pass (shutdown requested before any batch started, or no candidates were due for testing) -- skipping final funnel and reporting.
2026-09-17 15:18:03 | INFO     | src.pipelines.alpha_factory.pipeline | Pass complete. Sleeping 24.0h until next check.
2026-09-18 15:24:30 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-18 15:24:30 | INFO     | src.pipelines.alpha_factory.pipeline | ALPHA FACTORY PIPELINE
2026-09-18 15:24:30 | INFO     | src.pipelines.alpha_factory.pipeline | ========================================================================
2026-09-18 15:24:30 | INFO     | src.pipelines.alpha_factory.pipeline | [1/6] Screening for cointegrated pairs...
2026-09-18 15:26:28 | INFO     | src.pipelines.alpha_factory.pipeline | Found 2 cointegrated pair(s): ['AUDUSD_VOD', 'XAGUSD_XAUUSD']
2026-09-18 15:26:28 | INFO     | src.pipelines.alpha_factory.pipeline | [2/6] Generating strategy candidates...
2026-09-18 15:26:28 | INFO     | src.pipelines.alpha_factory.pipeline | Generated 2436 official candidates.
2026-09-18 15:26:28 | INFO     | src.pipelines.alpha_factory.pipeline | 0 of 2436 candidates due for testing this run (2436 still within their 30-day cooldown).
2026-09-18 15:26:28 | INFO     | src.pipelines.alpha_factory.pipeline | No batches completed this pass (shutdown requested before any batch started, or no candidates were due for testing) -- skipping final funnel and reporting.
